DBA,BORO,ZIPCODE,Latitude,Longitude,STREET,CUISINE DESCRIPTION
BAR ITALIA,Manhattan,10065,40.7678247,-73.96832819,MADISON AVENUE,Italian
O'NIEALS,Manhattan,10013,40.7195432,-73.99794011,GRAND STREET,American
HOMETOWN HOTPOT & BBQ,Manhattan,10013,40.71921106,-73.99695527,GRAND STREET,
AKURA SUSHI LLC,Manhattan,10016,40.74566401,-73.98387525,EAST   31 STREET,
COFFEE PROJECT NY,Manhattan,10003,40.72731598,-73.99025134,EAST    5 STREET,Coffee/Tea
AMBER,Manhattan,10014,40.73296766,-74.00689176,CHRISTOPHER STREET,Other
SALA THAI,Manhattan,10023,40.78018704,-73.98046547,AMSTERDAM AVENUE,Thai
LA GOURMET,Manhattan,10022,40.76200616,-73.96958358,EAST   58 STREET,American
787 COFFEE ROASTERS,Manhattan,10036,40.75920426,-73.98653591,WEST   46 STREET,
CASA LATINA RESTAURANT NYC LLC,Manhattan,10033,40.85031659,-73.93300986,SAINT NICHOLAS AVENUE,
MOCHA BURGER,Manhattan,10012,40.72735482,-73.99956705,LAGUARDIA PLACE,Jewish/Kosher
TAKE SUSHI & BOWL,Manhattan,10065,40.76132653,-73.96382627,2 AVENUE,Japanese
HAPPY WORLD,Manhattan,10033,40.84574028,-73.93635419,SAINT NICHOLAS AVENUE,Chinese
2 BROS PIZZA,Manhattan,10019,40.76316977,-73.98175199,7 AVENUE,
PUNTO DE SABOR,Manhattan,10033,40.85072263,-73.93268775,ST NICHOLAS AVENUE,Latin American
FRANCESCO PIZZERIA,Manhattan,10023,40.77509004,-73.98049586,COLUMBUS AVENUE,Pizza
Close Up,Manhattan,10002,40.72078057,-73.98885616,ORCHARD STREET,
FRANKLIN SQUARE CAFE @ HARPER COLLINS,Manhattan,10007,40.71052901,-74.00937828,BROADWAY,American
KIM TANG 888 INC,Manhattan,10031,40.82316176,-73.95281936,BROADWAY,
FAMOUS FAMIGLIA PIZZERIA,Manhattan,10036,40.75815603,-73.98909895,8 AVENUE,Pizza
